observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
1,HC1_TP1_10000_100_V ,V,10000,100,50,70.606,51.075,17.778,2.126,0.928,19.531,1.90E-05,1.53,0.996,0.428,0.361,219.775,65,2.75,8.029300227,8.3158379,8.702395836,8.783245916,8.509437909,,11.373597,11.16451,11.471219,12.044708,14.025948,,0.023245,0.022421,0.022371,0.023323,0.02526,,-0.00396,-0.000711,0.000528,0.001381,0.002254,
2,HC1_TP2_10000_100_H ,H,10000,100,50,70.549,51.053,20.636,2.134,0.943,19.495,1.91E-05,1.527,0.998,0.428,0.361,219.775,65,2.75,7.788042753,7.963103435,8.210771249,8.459527503,9.448648153,,10.635779,10.83198,11.175504,12.156206,14.136252,,0.020386,0.021042,0.021534,0.023263,0.025264,,-0.004546,0.000213,0.000939,0.001296,0.001633,
3,HC1_TP3_10000_200_V ,V,10000,200,100,137.42,102.09,24.007,3.94,0.872,35.33,2.10E-05,1.621,1.032,0.419,0.36,219.775,65,2.75,14.74193377,15.12742838,15.70006187,16.22027323,16.86370718,,20.182838,20.075881,20.451177,22.188962,25.54941,,0.04115,0.040727,0.041526,0.043523,0.046253,,-0.006244,-0.000256,0.000649,0.001973,0.003148,
4,HC1_TP4_10000_200_H ,H,10000,200,100,140.383,101.329,23.685,4.054,0.935,39.054,2.11E-05,1.625,1.034,0.417,0.36,219.775,65,2.75,15.64717506,16.02174018,16.32052655,17.00274941,18.96726302,,21.402725,20.667319,21.202003,22.583438,25.172056,,0.038472,0.040762,0.041936,0.044326,0.046971,,-0.008746,0.000271,0.00283,0.00351,0.004291,
5,HC1_TP5_10000_300_V ,V,10000,300,150,210.779,150.732,23.273,5.886,0.962,60.047,2.38E-05,1.697,1.094,0.404,0.358,219.775,65,2.75,14.8333865,15.36965454,16.14496706,16.91481967,17.96855507,,20.182838,20.075881,20.451177,22.188962,25.54941,,0.04115,0.040727,0.041526,0.043523,0.046253,,-0.006244,-0.000256,0.000649,0.001973,0.003148,
6,HC1_TP6_10000_300_H ,H,10000,300,150,210.346,150.172,24.022,5.871,0.972,60.174,2.38E-05,1.695,1.094,0.404,0.358,219.775,65,2.75,15.69575112,16.20126041,16.65633498,17.57932615,19.86064016,,21.402725,20.667319,21.202003,22.583438,25.172056,,0.038472,0.040762,0.041936,0.044326,0.046971,,-0.008746,0.000271,0.00283,0.00351,0.004291,
7,HC1_TP7_12000_50_V ,V,12000,50,25,35.887,26.172,20.93,1.076,0.865,9.716,1.84E-05,1.465,0.994,0.433,0.362,219.775,65,2.75,4.097707285,4.156663283,,4.560311849,4.709216273,5.06427841,5.535898,5.498262,,6.251311,7.078223,8.686917,0.013587,0.010882,,0.011746,0.012422,0.013731,-0.000743,-0.000067,,0.000519,0.000701,0.000805
8,HC1_TP8_12000_50_H ,H,12000,50,25,35.71,25.902,24.184,1.068,0.874,9.808,1.85E-05,1.463,0.995,0.433,0.362,219.775,65,2.75,3.903274898,4.059422167,,4.348292311,4.798181273,5.31890451,5.033755,5.389116,,6.222951,7.302706,9.203081,0.009652,0.010765,,0.011906,0.012623,0.013994,-0.0045,-0.000046,,0.000432,0.000645,0.000434
9,HC1_TP9_12000_100_V ,V,12000,100,50,71.646,51.56,21.431,2.085,0.791,20.087,1.91E-05,1.528,0.998,0.427,0.361,219.775,65,2.75,8.552892309,8.983962087,,9.748714983,10.05528947,10.36859305,11.402854,11.20124,,12.400585,14.013788,16.971447,0.025534,0.02265,,0.024171,0.025406,0.02816,-0.002985,-0.000654,,0.001024,0.001506,0.001977
10,HC1_TP10_12000_100_H ,H,12000,100,50,71.425,51.366,18.338,2.111,0.788,20.059,1.90E-05,1.531,0.997,0.427,0.361,219.775,65,2.75,8.483098162,8.708627775,,9.419038237,10.20494934,11.61911991,10.477526,10.738651,,12.069839,13.935519,17.301984,0.020531,0.02216,,0.024233,0.025639,0.027987,-0.008331,-0.000319,,0.000883,0.001388,0.000682
